title,author,isbn,publisher,edition,pages,dimensions
History Of American Journalism,James Melvin Lee,9.78E+12,Martin Press CA,,500,5.50(w) x 8.50(h) x 1.11(d)
The Backyard Goat: An Introductory Guide to Keeping and Enjoying Pet Goats from Feeding and Housing to Making Your Own Cheese,Sue Weaver,9.78E+12,Storey Books,,224,6.90(w) x 8.90(h) x 0.70(d)
August Wilson's Two Trains Running,August Wilson,9.78E+12,Samuel French Incorporated,,100,4.80(w) x 7.80(h) x 0.30(d)
Let it be Me,Kate Noble,9.78E+12,Penguin Publishing Group,,320,4.10(w) x 6.70(h) x 1.10(d)
The Assistant,Kate Black,9.78E+12,CreateSpace Publishing,,250,6.00(w) x 9.00(h) x 0.53(d)
Handbook on Book Repairing,P. H. Norton,9.78E+12,Brunton Press,,60,5.50(w) x 8.50(h) x 0.14(d)
The Geographical Natural and Civil History of Chili,Giovanni Ignazio Molina,9.78E+12,Cambridge University Press,,400,5.51(w) x 8.50(h) x 0.91(d)
Simpsons Comics Belly Buster,Matt Groening,9.78E+12,HarperCollins Publishers,Reprint,176,6.65(w) x 10.27(h) x 0.37(d)
Forever Friends (Hope Springs Series #3),Lynne Hinton,9.78E+12,HarperCollins Publishers,Reprint,240,5.30(w) x 7.90(h) x 0.60(d)
Bitter Fruit: African American Women in World War II,Maureen Honey,9.78E+12,University of Missouri Press,,424,6.13(w) x 9.25(h) x 1.20(d)
Secrets Revealed,Donna Woods,9.78E+12,CreateSpace Publishing,,296,6.00(w) x 1.25(h) x 9.00(d)
Little Black Book Of Geriatrics / Edition 4,Karen Gershman,9.78E+12,Jones & Bartlett Learning,4E,458,5.00(w) x 6.90(h) x 1.10(d)
Moments of Doubt: And Other Mountaineering Writings of David Roberts,David Roberts,9.78E+12,Mountaineers Books The,,256,5.50(w) x 8.50(h) x (d)
Ebola: The Natural and Human History of a Deadly Virus,David Quammen,9.78E+12,Norton W. W. & Company Inc.,,128,5.40(w) x 8.20(h) x 0.40(d)
American Judaism: A History / Edition 1,Jonathan D. Sarna,9.78E+12,Yale University Press,,512,6.12(w) x 9.25(h) x (d)
10 Answers for Atheists: How to Have an Intelligent Discussion About the Existence of God,Alex McFarland,9.78E+12,Baker Publishing Group,,240,5.50(w) x 8.50(h) x 0.70(d)
An Amish Family Christmas: A Charmed Amish Life Christmas Novel,Shelley Shepard Gray,9.78E+12,HarperCollins Publishers,Reprint,368,6.50(w) x 4.10(h) x 1.10(d)
Silvia DuBois; A Biografy of the Slav Who Whipt Her Mistres and Gand Her Fredom,C. W. Larison,9.78E+12,Oxford University Press USA,,288,4.88(w) x 6.81(h) x 0.99(d)
Baby Got Lost,Laurinda Stanton,9.78E+12,Xlibris Corporation,,26,8.50(w) x 11.00(h) x 0.07(d)
Now or Never: Your Epic Life in 5 Steps,Alexi Panos;  Preston Smiles,9.78E+12,Gallery Books,,240,5.50(w) x 8.40(h) x 0.50(d)
Black Thursday,Linda Joffe Hull,9.78E+12,Llewellyn Worldwide LTD.,,336,5.10(w) x 7.90(h) x 1.00(d)
Sleep My Darlings: The true story of a mother who killed her children in cold blood,Diane Fanning,9.78E+12,St. Martin's Press,First Edition,202,4.10(w) x 6.70(h) x 0.70(d)
The Finest Collection Of E-Mail Jokes And Stories,Doug Sand,9.78E+12,Xlibris Corporation,,260,6.00(w) x 9.00(h) x 0.59(d)
Love by Night: A Black Vampire Story,Stina,9.78E+12,Kensington,,384,4.10(w) x 6.70(h) x 1.00(d)
Logics of Failed Revolt: French Theory after May '68,Peter Starr,9.78E+12,Stanford University Press,1,284,6.15(w) x 9.23(h) x 0.75(d)
More Top Secret Recipes: More Fabulous Kitchen Clones of America's Favorite Brand-Name Foods,Todd Wilbur,9.78E+12,Penguin Publishing Group,,,5.40(w) x 8.00(h) x 0.35(d)
American Medical Association Family Medical Guide / Edition 4,American Medical Association,9.78E+12,Turner Publishing Company,Fourth Edition,1200,8.00(w) x 9.40(h) x 2.80(d)
A Diabolical Onslaught,Riott Night,9.78E+12,CreateSpace Publishing,,270,5.50(w) x 8.50(h) x 0.61(d)
Finding a Forever Home: True Animal Rescue Stories,Mr Mark Feldstein,9.78E+12,CreateSpace Publishing,,278,6.00(w) x 9.00(h) x 0.58(d)
Black Pioneers in Communication Research / Edition 1,Ronald L. Jackson;  Sonja M. Brown Givens,9.78E+12,SAGE Publications,New Edition,280,6.00(w) x 9.00(h) x (d)
The picture of Dorian Gray 1890,Oscar Wilde,9.78E+12,CreateSpace Publishing,,272,6.00(w) x 9.00(h) x 0.61(d)
Main Street: Original and Unabridged,Sinclair Lewis,9.78E+12,CreateSpace Publishing,Original,404,6.00(w) x 9.00(h) x 0.90(d)
America's Boy,James Hamilton-Paterson,9.78E+12,Faber and Faber,,502,5.06(w) x 7.81(h) x 1.01(d)
Backpack 2 Content Reader,PEARSON,9.78E+12,Pearson Education ESL,,,7.90(w) x 10.50(h) x 0.10(d)
Philadelphia in Picture Postcards,Philip III Jamison,9.78E+12,Rowman & Littlefield Publishers Inc.,,128,8.50(w) x 10.96(h) x 0.32(d)
Hardcase,Dan Simmons,9.78E+12,Little Brown and Company,Reprint,272,5.50(w) x 8.25(h) x 0.75(d)
The Communist Manifesto and Other Writings (Barnes & Noble Classics Series),Karl Marx;  Friedrich Engels,9.78E+12,Barnes & Noble,,224,5.19(w) x 8.00(h) x 0.56(d)
On American Soil: How Justice Became a Casualty of World War II,Jack Hamann,9.78E+12,University of Washington Press,,384,8.92(w) x 10.92(h) x 0.91(d)
Studyguide for Psychology by Wade Carole ISBN 9780205873425,Cram101 Textbook Reviews,9.78E+12,Content Technologies Inc.,,270,8.25(w) x 11.00(h) x 0.57(d)
Baltimore Noir,Laura Lippman,9.78E+12,Akashic Books,,294,5.20(w) x 8.30(h) x 0.90(d)
Before I Wake,Robert J. Wiersema,9.78E+12,St. Martin's Press,First Edition,336,5.40(w) x 8.20(h) x 1.00(d)
The Fight for Maglev: Making America the World Leader in 21st Century Transport by James Jordan  James Powell  Gordon Dan,,9.78E+12,CreateSpace Publishing,,402,6.00(w) x 9.00(h) x 0.89(d)
The Witchcraft Reader / Edition 2,Darren Oldridge,9.78E+12,Taylor & Francis,REV,424,6.75(w) x 9.75(h) x 1.00(d)
A Guide to the Dead Sea Scrolls and Related Literature,S.J.;  Joseph Fitzmyer Joseph A.,9.78E+12,Eerdmans William B. Publishing Company,Revised and Expanded,248,6.00(w) x 8.90(h) x 0.90(d)
I Hate NY: True stories of life in New York City,Greg Vojtanek,9.78E+12,Lulu.com,,152,6.00(w) x 9.00(h) x 0.35(d)
The Lord Next Door,Gayle Callen,9.78E+12,HarperCollins Publishers,Reissue,384,4.18(w) x 6.75(h) x 0.96(d)
Life in the Far West: A True Account of Travels across America's Wilderness,George Frederick Ruxton,9.78E+12,Skyhorse Publishing,Reissue,328,8.10(w) x 5.50(h) x 1.00(d)
1215 and All That: Magna Carta and King John,Ed West,9.78E+12,Skyhorse Publishing,,192,5.60(w) x 8.30(h) x 1.00(d)
Thursdays with Oma,Kirsten Gordon;  Benjamin Elio,9.78E+12,CreateSpace Publishing,,26,8.50(w) x 8.50(h) x 0.07(d)
Magna Carta / Edition 3,J. C. Holt,9.78E+12,Cambridge University Press,Revised,481,5.98(w) x 8.98(h) x 0.87(d)
Color this Book: New York City,Abbi Jacobson; Other Format,9.78E+12,Chronicle Books LLC,,32,8.00(w) x 10.00(h) x 0.25(d)
Between Night and Day,Nicola Åslund,9.78E+12,CreateSpace Publishing,,354,6.00(w) x 1.25(h) x 9.00(d)
The Blessings,Elise Juska,9.78E+12,Grand Central Publishing,,288,5.25(w) x 8.00(h) x 0.75(d)
"????·???""?: Alexander Hamilton",Washington Yu Ying PCS,9.78E+12,Level Chinese,,20,6.00(w) x 1.25(h) x 9.00(d)
Lark's Lament (Fool's Guild Series #6),Alan Gordon,9.78E+12,St. Martin's Press,First Edition,288,8.24(w) x 5.40(h) x 0.78(d)
Bouncer,Kipling Peterson,9.78E+12,iUniverse Incorporated,,308,6.00(w) x 9.00(h) x 0.69(d)
Bugs in My Hair!,David Shannon,9.78E+12,Scholastic Inc.,,32,8.30(w) x 11.10(h) x 0.50(d)
John Milton,Harold Bloom;  Carol Blessing,9.78E+12,Facts on File Incorporated,,320,32.00(w) x 9.25(h) x 32.00(d)
Advances in Tracer Methodology: Volume 1,Seymour Rothchild,9.78E+12,Springer US,1963,332,5.98(w) x 9.02(h) x 0.03(d)
More Martian Tales (Barnes & Noble Library of Essential Reading),Edgar Rice Burroughs,9.78E+12,Barnes & Noble,,448,5.50(w) x 8.25(h) x (d)
A Dying Breed Volume 1: From the Bright Lights Series,Darian Wigfall,9.78E+12,AuthorHouse,,68,6.00(w) x 9.00(h) x 0.16(d)
The Angel Experiment (Maximum Ride Series #1),James Patterson,9.78E+12,Little Brown Books for Young Readers,,464,8.02(w) x 11.28(h) x 1.25(d)
The Pilgrim's Progress (Part 1) Abridged & Illustrated: Greenfield Reader Level 3,John Bunyan,9.78E+12,CreateSpace Publishing,,78,8.50(w) x 11.00(h) x 0.16(d)
