title,author,isbn,publisher,edition,pages,dimension
From Hitler Youth to American Hero,Wolfgang Goettig,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Al Roker's Extreme Weather,Al Roker,9.78E+12,HarperCollins,Unknown,,
Birds Are People 2,Doug West,9.78E+12,Createspace,Unknown,96 pages,8.50 x 11.02 x 0.25 inches
The Aeneid,Vergil; Christopher Pearse Cranch; Sarah Spence,9.78E+12,Barnes & Noble,Unknown,403 pages,5.34 x 8.01 x 1.24 inches
A Skinful of Shadows,Frances Hardinge,9.78E+12,Harry N. Abrams,Unknown,,
Bitterman's Craft Salt Cooking,Mark Bitterman,9.78E+12,Andrews McMeel Publishing,Unknown,,
Sons of Spanish American War Veterans,Greg Eanes,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Entwined (Bound Together) (Volume 3),Lacey Black,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Oliver Twist,Charles Dickens; George Cruikshank; Jill Muller,9.78E+12,Barnes & Noble,Unknown,478 pages,5.24 x 8.02 x 1.36 inches
Motown,Adam; Ales; Barney White,9.78E+12,Thames & Hudson,Unknown,,
Los Tres Cerditos = The Three Pigs,David Wiesner; Christiane Reyes,9.79E+12,Editorial Juventud,Unknown,38 pages,11.20 x 9.24 x 0.34 inches
Germany in the Modern World,Sam A. Mustafa,9.78E+12,Rowman & Littlefield Publishers,Unknown,,
Moonwalk,David; Buckley; Adrian Jenkins,9.78E+12,Circa Press,Unknown,,
Black Families,Harriette Pipes McAdoo,9.78E+12,Sage Publications (CA),4,364 pages,6.04 x 9.02 x 0.76 inches
Between Gods,Alison Pick,9.78E+12,Harper Perennial,Unknown,,
Stickman Odyssey Book 1,Christopher Ford,9.78E+12,Philomel Books,Unknown,208 pages,6.00 x 9.10 x 0.70 inches
NADA,Laforet; Carmen Laforet; Edward R. Mulvihill,9.78E+12,Oxford University Press USA,Unknown,288 pages,5.42 x 7.94 x 0.52 inches
"A Study Guide for Edwidge Danticat's ""Dew Breaker""",Cengage Learning Gale,9.78E+12,Gale Study Guides,Unknown,,
The End of the Earth,Margarita Eve,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
Mafia Moll,Sam Sloan; Judith Campbell Exner,9.78E+12,Ishi Press,Unknown,576 pages,6.00 x 9.00 x 1.28 inches
1471 ACT Practice Questions 5th Edition,Princeton Review,9.78E+12,Princeton Review,Unknown,,
Last Light,Andy McNab,9.78E+12,Atria Books,Unknown,357 pages,5.98 x 9.02 x 0.82 inches
A Thousand Acres,Jane Smiley,9.78E+12,Anchor Books,Unknown,384 pages,5.10 x 8.18 x 0.86 inches
Happy Birthday,35th Birthday Gifts in All Departments,9.78E+12,CreateSpace Independent Publishing Platform,Unknown,,
The Best American Science and Nature Writing,Jonathan Weiner; Tim Folger,9.78E+12,Houghton Mifflin Harcourt (HMH),Unknown,304 pages,5.50 x 8.40 x 1.10 inches
Intrepid,Robert Gandt; Bill White; John McCain,9.78E+12,Broadway Books,Unknown,348 pages,5.06 x 8.22 x 0.82 inches
