_id,ltable_ID,rtable_ID,ltable_title,ltable_author,ltable_isbn,ltable_publisher,ltable_edition,ltable_pages,ltable_dimension,rtable_title,rtable_author,rtable_isbn,rtable_publisher,rtable_edition,rtable_pages,rtable_dimension,gold_labels
4366,2186,1921,Patterns of Enterprise Application Architecture / Edition 1,Martin Fowler;  Robert Mee;  Edward Hieatt;  Matthew Foemmel,9780321127426,Addison-Wesley,,,7.40(w) x 9.30(h) x 1.30(d),Patterns of Enterprise Application Architecture,Martin Fowler,9780321127426,Addison-Wesley Professional,,,7.57 x 9.33 x 1.33 inches,1
9347,2738,3534,The Art of War By Sun Tzu,Sun Tzu,9781938412080,Classics Press,,,5.00(w) x 8.00(h) x 0.09(d),The Art of War,Sun Tzu,9781435146211,Sterling,,,,0
1021,1081,375,Friday on My Mind (Frieda Klein Series #5),Nicci French,9780143127222,Penguin Publishing Group,,,5.30(w) x 7.90(h) x 0.80(d),Friday on My Mind,Nicci French,9780143127222,Penguin Books,,,,1
4089,2340,1827,CompTIA Network+ N10-006 Cert Guide / Edition 1,Keith Barker;  Kevin Wallace,9780789754080,Pearson IT Certification,,,7.50(w) x 9.20(h) x 1.40(d),CompTIA Network+ N10-006 Cert Guide Deluxe Edition,Keith; Wallace; Kevin; Taylor; Michael D. Barker,9780789754738,Pearson IT Certification,,,,0
1574,32,647,Daughter of Ancients (Bridge of D'Arnath Series #4),Carol Berg,9780451460424,Penguin Publishing Group,,,4.30(w) x 6.85(h) x 1.25(d),Daughter of Ancients,Carol Berg,9780451460424,Roc,,,4.24 x 6.74 x 1.24 inches,1
5973,2569,2522,The Devil in the White City: Murder Magic and Madness at the Fair That Changed America,Erik Larson;  Scott Brick,9780739343814,Penguin Random House Audio Publishing Group,,,5.08(w) x 5.90(h) x 1.10(d),The Devil in the White City,Erik Larson,9780375725609,Vintage Books,,,5.10 x 7.90 x 1.00 inches,0
6633,3008,2712,Sun Tzu's Original Art of War: Special Bilingual Edition,Sun Tzu;  Sun Zi,9780981313733,Colors Network,,,7.00(w) x 10.00(h) x 0.44(d),The Art of War,Sun Tzu; Steve Kaufman; Stephen F. Kaufman,9780804830805,Tuttle Publishing,,,5.24 x 8.50 x 0.36 inches,0
1622,883,680,"Huck Finn and the Zombie Jim: The classic Adventures of Huckleberry Finn with ""the N word"" replaced by the word zombie",Mark Twain,9781499359107,CreateSpace Publishing,,,6.00(w) x 9.00(h) x 0.58(d),The Adventures of Tom Sawyer and Adventures of Huckleberry Finn,Mark Twain; Shelley Fisher Fishkin,9780451532145,Signet Classics,,,,0
4656,1572,2070,QuickBooks 2017 All-In-One For Dummies,Stephen L. Nelson,9781119281344,Wiley,,,7.30(w) x 8.90(h) x 1.30(d),QuickBooks 2018 All-in-One For Dummies (For Dummies (Computer/Tech)),Stephen L. Nelson,9781119397366,For Dummies,,,,0
4822,1912,2125,Virtual Private Networks For Dummies,Mark S. Merkow;  Dummies Technology Press,9780764505904,Wiley,,,7.44(w) x 9.26(h) x 0.86(d),Virtual Private Networks for Dummies,Mark S. Merkow; Dummies Technology Press,9780764505904,For Dummies,,,7.39 x 9.22 x 0.83 inches,1
3315,1692,1448,Angular 4 Pocket Primer,Oswald Campesato,9781683920359,Mercury Learning & Information,,,6.00(w) x 8.90(h) x 0.60(d),Angular 4 Pocket Primer,Oswald Campesato,9781683920359,Mercury Learning & Information,,,,1
4355,1978,1910,GO! with Microsoft Excel 2013 Comprehensive / Edition 1,Shelley Gaskin;  Alicia Vargas;  Debra Geoghan,9780133417333,Pearson,,,9.40(w) x 10.90(h) x 0.90(d),Go! with Microsoft Excel 2013 Comprehensive,Shelley Gaskin; Debra Geoghan; Alicia Vargas,9780133417333,Pearson Education (US),,,8.50 x 10.87 x 1.18 inches,1
4364,1910,1919,Microsoft Word 2013 Step By Step,Joan Lambert;  Joyce Cox,9780735669123,Microsoft Press,,,7.30(w) x 8.90(h) x 1.40(d),Microsoft Access 2013 Step by Step,Joyce Cox; Joan Lambert,9780735669086,Microsoft PressU.S.,,,7.36 x 9.02 x 0.00 inches,0
4154,2234,1848,E-commerce A Beginners Guide to e-commerce,Daniel D'apollonio,9781542687423,CreateSpace Publishing,,,6.00(w) x 9.00(h) x 0.09(d),E-commerce A Beginners Guide to e-commerce (business money passive income e-commerce for dummies marketing amazon),Daniel D'apollonio,9781542687423,CreateSpace Independent Publishing Platform,,,,1
9056,3119,3447,The Art of War: Traditional Text with Annotations amp; Commentary,Sun Tzu,9781522777755,CreateSpace Publishing,,,5.00(w) x 8.00(h) x 0.42(d),The Art of War by Sun Tzu & the Book of Five Rings by Miyamoto Musashi,Sun Tzu; Musashi Miyamoto,9789562912501,WWW.Bnpublishing.com,,,5.00 x 7.90 x 0.50 inches,0
6035,3463,2556,The Art of War: The Oldest Military Treatise In The World,Sun Tzu;  Lionel Giles MA,9789198147827,HH Bokfouml;rlag,,,5.00(w) x 8.00(h) x 0.16(d),The Art of War,Sun Tzu,9781936041053,Simon & Brown,,,9.01 x 5.98 x 0.14 inches,0
976,410,341,A Just Clause (Booktown Series #11),Lorna Barrett,9780399585913,Penguin Publishing Group,,,6.00(w) x 9.10(h) x 1.20(d),A Just Clause (A Booktown Mystery),Lorna Barrett,9780399585913,Berkley,,,,1
3164,1500,1395,Learn Adobe Photoshop CC for Visual Communication: Adobe Certified Associate Exam Preparation / Edition 1,Rob Schwartz,9780134397771,Adobe Press,,,7.30(w) x 9.00(h) x 0.70(d),Learn Adobe Photoshop CC for Visual Communication,Rob Schwartz,9780134397771,Adobe Press,,,,1
1079,1072,415,Are you SURE about that?: Observations and life lessons from a high functioning sociopath!,Thaddeus Grant Tuffentsamer,9781537003887,CreateSpace Publishing,,,5.00(w) x 8.00(h) x 0.32(d),Are you SURE about that?,Thaddeus Grant Tuffentsamer,9781537003887,CreateSpace Independent Publishing Platform,,,,1
5376,2402,2301,Xcode 5 Start to Finish: iOS and OS X Development / Edition 1,Fritz Anderson,9780321967206,Addison-Wesley,,,7.00(w) x 9.00(h) x 1.40(d),Xcode 5 Start To Finish,Fritz Anderson,9780321967206,Pearson Education (US),,,7.01 x 9.02 x 0.00 inches,1
503,567,167,Content-Based Readers Fiction Early (Science): Sky Watchers,National Geographic Learning,9780792260394,Cengage Learning,,,5.10(w) x 7.90(h) x 1.00(d),Content-Based Readers Fiction Early (Science),National Geographic Learning,9780792260295,National Geographic School Pub,,,,0
4860,1721,2132,Mastering Computer Typing Revised Edition,Sheryl Lindsell-Roberts; Other Format,9780547333199,Houghton Mifflin Harcourt,,,6.90(w) x 9.30(h) x 0.80(d),Mastering Computer Typing,Sheryl Lindsell-Roberts,9780547333199,Houghton Mifflin Harcourt (HMH),,,6.90 x 9.76 x 0.74 inches,1
6026,2986,2556,Sun Tzu On The Art Of War,Mr Sun Tzu,9781495352652,CreateSpace Publishing,,,6.00(w) x 9.00(h) x 0.22(d),The Art of War,Sun Tzu,9781936041053,Simon & Brown,,,9.01 x 5.98 x 0.14 inches,0
5195,2084,2239,Creativity: Theories and Themes: Research Development and Practice / Edition 2,Mark A. Runco,9780124105126,Elsevier Science,,,7.50(w) x 9.30(h) x 1.20(d),Creativity: Theories and Themes,Mark Runco,9780124105126,Academic Press Inc,,,,1
4402,1998,1933,Ansible: Up and Running: Automating Configuration Management and Deployment the Easy Way,Lorin Hochstein;  Rene Moser,9781491979808,O'Reilly Media Incorporated,,,6.90(w) x 9.00(h) x 1.00(d),Ansible: Up and Running,Lorin; Moser; Rene Hochstein,9781491979808,O'Reilly Media,,,,1
7727,3544,2981,Sun Tzu - The Art of War - The Illustrated Edition,Sun Tzu,9781781580479,Coda Books Ltd,,,6.00(w) x 9.00(h) x 0.42(d),The Art of War,Sun Tzu,9781530575374,CreateSpace Independent Publishing Platform,,,,0
9441,3036,3577,Cracking the AP Computer Science A Exam 2018 Edition: Proven Techniques to Help You Score a 5,Princeton Review,9781524710040,Random House Children's Books,,,8.20(w) x 10.80(h) x 1.00(d),Cracking the AP Physics 2 Exam 2017 Edition,Princeton Review,9781101919965,Princeton Review,,,,0
543,45,173,Out of Control,Christopher Crouse,9781491801673,AuthorHouse,,,8.50(w) x 11.00(h) x 0.05(d),Out of Control,Christopher Crouse,9781491801673,AuthorHouse,,,,1
2879,1298,1288,CCNA Data Center DCICN 200-150 Official Cert Guide / Edition 1,Chad Hintz;  Cesar Obediente;  Ozden Karakok,9781587205965,Cisco Press,,,7.60(w) x 9.20(h) x 2.10(d),CCNA Data Center DCICN 200-150 Official Cert Guide,Chad; Obediente; Cesar; Karakok; Ozden Hintz,9781587205965,Cisco Press,,,,1
9319,2777,3508,Sun Tzu on the Art of War: The Oldest Military Treatise in the World,Sun Tzu,9781545129456,CreateSpace Publishing,,,8.50(w) x 11.00(h) x 0.06(d),Sun Tzu On The Art Of War,Mr Sun Tzu,9781495352652,CreateSpace Independent Publishing Platform,,,,1
5186,1553,2228,Windows XP for Dummies Second Edition,Andy Rathbone,9780764573262,Wiley,,,7.46(w) x 9.16(h) x 0.98(d),Windows XP for Dummies,Andy Rathbone,9780764573262,Wiley Publishing,,,7.36 x 9.21 x 0.94 inches,1
