ID,title,author,isbn,publisher,edition,pages,dimension
1,Cry Wolf (Alpha and Omega Series #1),Patricia Briggs,9780441016150,Penguin Publishing Group,,320,4.10(w) x 6.70(h) x 1.10(d)
2,DK Braille: Animals,Dorling Kindersley Publishing Staff,9781465436115,DK,Large Print,32,8.60(w) x 10.70(h) x 0.90(d)
3,An American Marriage (Oprah's Book Club),Tayari Jones,9781616208776,Algonquin Books of Chapel Hill,,,5.90(w) x 9.10(h) x 1.30(d)
4,Big Stone Gap (Movie Tie-in Edition),Adriana Trigiani,9781101967447,Random House Publishing Group,Media Tie,320,7.90(w) x 5.10(h) x 0.80(d)
5,Death of a Double Dipper,Angela Pepper,9781546502661,CreateSpace Publishing,,390,5.00(w) x 8.00(h) x 0.80(d)
6,Immortal Blood,James M. Thompson,9781516104130,Random House,,322,5.50(w) x 8.50(h) x 0.72(d)
7,Verdict Unsafe,Jill McGown,9780449225011,Random House Publishing Group,Reprint,336,4.25(w) x 6.75(h) x 0.50(d)
8,Jacky Ha-Ha,James Patterson;  Chris Grabenstein;  Kerascoet,9780316432535,Little Brown and Company,Reprint,384,5.20(w) x 7.40(h) x 1.10(d)
9,Fantastic Beasts and Where to Find Them: The Illustrated Edition,J. K. Rowling;  Newt Scamander;  Olivia Lomenech Gill,9781338216790,Scholastic Inc.,,160,9.80(w) x 11.50(h) x 0.90(d)
10,Safari Survival,Jan Burchett;  Sara Vogler;  Diane Le Feyer,9781434290571,Capstone Press,,152,5.25(w) x 7.50(h) x 0.70(d)
11,Daniel Deronda (Barnes & Noble Classics Series),George Eliot,9781593082901,Barnes & Noble,,784,7.96(w) x 5.32(h) x 1.73(d)
12,Science Fiction and Market Realities,Gary Westfahl,9780820317267,University of Georgia Press,,232,6.00(w) x 9.00(h) x (d)
13,Divine Justice (Camel Club Series #4),David Baldacci,9780446544887,Grand Central Publishing,Reprint,560,4.18(w) x 7.54(h) x 1.20(d)
14,Science Fiction and Extro-Science Fiction,Quentin Meillassoux;  Isaac Asimov,9781937561482,University of Minnesota Press,,96,4.40(w) x 6.50(h) x 0.30(d)
15,Enchiridion: The Manual for Living [Barnes & Noble Library of Essential Reading],Epictetus,9780760770207,Barnes & Noble,,48,5.50(w) x 8.25(h) x (d)
16,C.M. Simpson: Short Work from 2015 & 2016 (Large Print): Science Fiction Fantasy and Steampunk,C. M. Simpson,9781974271436,CreateSpace Publishing,,588,6.00(w) x 1.25(h) x 9.00(d)
17,Call Me By Your Name,Andre Aciman,9780312426781,Picador,First Edition,256,5.53(w) x 8.23(h) x 0.71(d)
18,Commander Toad in Space,Jane Yolen;  Bruce Degen,9780698113558,Penguin Young Readers Group,Reprint,64,5.75(w) x 8.50(h) x 0.22(d)
19,Science Fiction Fantasies: Tales and Origins,MR Bill Eckel,9781535087308,CreateSpace Publishing,,174,5.98(w) x 9.02(h) x 0.37(d)
20,The Lone Star Ranger,Zane Grey,9781984331595,CreateSpace Publishing,,258,6.00(w) x 1.25(h) x 9.00(d)
21,It's P!,Mary Elizabeth Salzmann,9781604536034,ABDO Publishing Company,,24,9.40(w) x 7.60(h) x 0.10(d)
