ID,title,author,isbn,publisher,edition,pages,dimension
1,Elements Books I-XIII,Euclid,9780760763124,Barnes & Noble,Unknown,,
2,Blessed Anastacia,John Burdick,9780415912594,Routledge,Unknown,246 pages,6.22 x 9.18 x 0.77 inches
3,The Neighbor,Lisa Gardner,9780553591903,Bantam,Unknown,483 pages,4.00 x 7.00 x 1.50 inches
4,Strain The Volume 5 The Night Eternal,Guillermo Del Torro,9781616556389,Dark Horse Books,Unknown,,
5,The Edge,Scott Wittenburg,9781411686601,Lulu Press,Unknown,196 pages,6.00 x 9.00 x 0.45 inches
6,Star Trek,Mike; Parrott; Ryan Johnson,9781631406638,IDW Publishing,Unknown,,
7,Masques,Patricia Briggs,9780441019427,Ace Books,Unknown,306 pages,4.24 x 6.77 x 0.90 inches
8,Vile Blood (Volume 1),Jen Golembiewski,9780998361307,Jen Golembiewski,Unknown,,
9,El ruiseor / The Nightingale (Spanish Edition),Kristin Hannah,9788466338400,Debolsillo,Unknown,,
10,Murder Most Howl (A Paws & Claws Mystery),Krista Davis,9780425262573,Berkley,Unknown,,
11,Deadfall (An Alexandra Cooper Novel),Linda Fairstein,9781101984048,Dutton,Unknown,,
12,Harry Potter and the Order of the Phoenix,J. K. Rowling,9784915512513,Seizansha/Tsai Fong Books,Unknown,,
13,Great American Stories  Book 12,Ron Thom,9781495969324,CreateSpace Independent Publishing Platform,Unknown,,
14,The Kitten Caper,Carolyn Keene; Jan Naimo Jones,9781416908302,Aladdin Paperbacks,Unknown,72 pages,5.24 x 7.70 x 0.22 inches
15,Mountain Laurel,Jude Deveraux,9781451607413,Pocket Books,Unknown,312 pages,5.00 x 7.90 x 0.80 inches
16,The Book of Atrix Wolfe,Patricia A. McKillip,9780441015658,Ace Books,Unknown,247 pages,5.11 x 7.96 x 0.67 inches
17,Extraterrestrial Civilizations,Isaac Asimov,9780449900208,Ballantine Books,Unknown,292 pages,6.16 x 8.62 x 0.75 inches
18,The Defect,Jeff Bailey,9781625969163,Deer Hawk Enterprises,Unknown,,
19,The Wedding Circle (A Cherry Cola Book Club Novel),Ashton Lee,9781617733413,Kensington,Unknown,,
20,Shady Lady,Ann Aguirre,9780451463258,Roc,Unknown,324 pages,4.23 x 6.76 x 0.94 inches
21,Cripple Wolf,Jeff Burk,9781936383863,Eraserhead Press,Unknown,152 pages,5.50 x 8.50 x 0.33 inches
22,Superheroes,Peter S. Beagle; Kelly Link,9781607013808,Prime Books,Unknown,384 pages,5.98 x 9.02 x 0.75 inches
23,A Charming Voodoo (Magical Cures Mystery Series) (Volume 10),Tonya Kappes,9781535262972,CreateSpace Independent Publishing Platform,Unknown,,
24,Star Trek,Mike Johnson,9781613778951,Idea & Design Works,Unknown,124 pages,6.50 x 10.24 x 0.00 inches
25,Dot Dot Dot,James A. Lindsay,9780956694898,Jonathan M S Pearce,Unknown,218 pages,5.16 x 8.03 x 0.47 inches
26,Blood Cousins Rival Queens,Barbara Kyle,9780758273222,Kensington Publishing Corporation,Unknown,448 pages,
27,The Flight Attendants,Maggie Tellado,9781452049632,Authorhouse,Unknown,336 pages,9.02 x 6.00 x 0.75 inches
28,Collected Stories of Guy de Maupassant (Barnes & Noble Classics Series),Guy de Maupassant; Richard Fusco,9781593082222,Barnes & Noble Classics,Unknown,384 pages,
29,Foiled,Jane Yolen; Mike Cavallaro,9781596432796,First Second,Unknown,160 pages,6.32 x 8.50 x 0.45 inches
30,Eternal Sin,Laura Wright,9780451240163,Berkley,Unknown,,
31,Before We Were Yours,Lisa Wingate,9780425284681,Ballantine Books,Unknown,,
32,The Annotated Huckleberry Finn,Mark Twain; Michael Patrick Hearn; E. W. Kemble,9780393020397,W. W. Norton & Company,Unknown,480 pages,8.82 x 10.34 x 1.66 inches
33,The Lost Fleet: Beyond the Frontier,Jack Campbell,9781937007492,Ace Books,Unknown,384 pages,4.30 x 6.70 x 1.20 inches
34,Pirene's Fountain Volume 9 Issue 17 b,ene's Fountain; Volume 9 Issue 17 by,9781941783252,Glass Lyre Press,Unknown,,
35,Literally Murder (A Black Cat Bookshop Mystery),Ali Brandon,9780425261545,Berkley,Unknown,,
36,Shifter's Wolf,Patricia Briggs,9780425264218,Ace Books,Unknown,544 pages,
37,Vanity Fair,William Makepeace Thackeray; William Makepeace Thackeray; Nicholas Dames,9781593080716,Barnes & Noble Classics,Unknown,736 pages,5.26 x 8.00 x 1.52 inches
38,To Kill a Mockingbird,Harper Lee,9780446310789,Warner Books,Unknown,288 pages,4.36 x 6.80 x 1.04 inches
39,Neverwhere (Spanish Edition),Neil Gaiman,9788416240883,Roca,Unknown,,
40,Black Diamond,Ja'nese Dixon; Dana Pittman,9780974076218,Purpose Prevails Publishing,Unknown,308 pages,8.50 x 5.51 x 0.69 inches
41,A Dollhouse Built on Brimstone,Lucas Daliah Galvin,9780997446517,Black Napkin Press,Unknown,,
42,The Forensic Casebook,Ngaire E. Genge; N. E. Genge,9780345452030,Ballantine Books,Unknown,336 pages,7.39 x 9.25 x 0.82 inches
43,The Phoenix Pick Anthology of Classic Science Fiction,Robert a; Lovecraft; H P Henlein,9781612423012,ARC Manor,Unknown,,
44,The Eureka Method,John Hershey,9780071770392,McGraw-Hill,Unknown,235 pages,7.30 x 9.00 x 0.60 inches
45,Graveyard Shift,Angela Roquet,9781480004184,CreateSpace Independent Publishing Platform,Unknown,,
46,Change Your Life in 30 Days,Rhonda Britten,9780399530692,Perigee Books,Unknown,272 pages,6.06 x 8.98 x 0.71 inches
47,Body for Life,Bill Phillips; Michael D'Orso,9780060193393,HarperCollins Publishers,Unknown,201 pages,7.64 x 9.50 x 0.72 inches
48,Monstrous Creatures,Jeff Vandermeer,9781935738039,Guide Dog Books,Unknown,252 pages,9.02 x 5.98 x 0.57 inches
49,The Best Science Fiction and Fantasy of the Year b,Best Science Fiction and Fantasy of the Year by,9781781085622,Solaris,Unknown,,
50,King of Thorns,Mark Lawrence,9780425256237,Ace Books,Unknown,,
51,Emma (Wisehouse Classics - With Illustrations by H.M. Brock) (2016),Jane Austen,9789176372524,Wisehouse Classics,Unknown,,
52,Bad Love,Jonathan Kellerman,9780345539021,Ballantine Books,Unknown,512 pages,
53,Deadly Valentine,Carolyn Hart,9780553288476,Crimeline,Unknown,272 pages,4.20 x 6.89 x 0.79 inches
54,Stories for Tomorrow an Anthology of Modern Science Fiction,William Milligan Sloane; Sam Sloan,9784871873024,Ishi Press,Unknown,492 pages,8.50 x 5.51 x 1.09 inches
55,Biomes and Ecosystems Set (Teacher Created Materials Library Set) (Spanish Edition),Teacher Created Materials,9781433340055,Teacher Created Materials,Unknown,,
56,Irresistible,Karen Robards,9781476762760,Gallery Books,Unknown,,
57,The Broken Dragon,Irene Radford,9780756409159,DAW,Unknown,,
58,The Canterbury Tales,Geoffrey Chaucer; Peter Tuttle; Robert W. Hanning,9781593080808,Barnes & Noble,Unknown,866 pages,5.21 x 8.07 x 2.01 inches
59,GIANT Math Readiness,Joan Hoffman; Barbara Bando Irvin; Ph.D.; Barbara Gregorich,9781601597427,School Zone Pub,Unknown,,
60,Countries of the World b,ntries of the World by,9781617831041,Essential Library,Unknown,144 pages,
61,A Diary of Private Prayer,John Baillie,9781476754703,Scribner,Unknown,,
62,Coraline,Neil Gaiman; Dave McKean,9780380807345,HarperTrophy,Unknown,162 pages,5.20 x 7.50 x 0.40 inches
63,The Assassin,W. E. B. Griffin,9780515111132,Jove Books,Unknown,464 pages,4.18 x 6.84 x 1.08 inches
64,The Invisible Ring,Anne Bishop,9780451462060,Roc,Unknown,366 pages,5.92 x 8.96 x 0.84 inches
65,The Vintage Book of Contemporary American Short Stories,Tobias Wolff,9780679745136,Vintage Books,Unknown,576 pages,5.38 x 7.94 x 1.00 inches
